assembly_index,nonlinearity_strength,measurement_noise_mm,method,final_quality
57,0.0,0.0,LSQ,0.2473706534424368
57,0.0,0.0,LOCKED_HYBRID,0.278595069152481
58,0.0,0.0,ZERO,1.3508553716102871
58,0.0,0.0,LSQ,0.41330071114558503
58,0.0,0.0,LOCKED_HYBRID,0.33869917292621454
59,0.0,0.0,ZERO,2.1091358062493164
59,0.0,0.0,LSQ,0.6163975263295614
59,0.0,0.0,LOCKED_HYBRID,0.5804295497305121
60,0.0,0.0,ZERO,2.882435551563397
60,0.0,0.0,LSQ,0.6071412977551475
60,0.0,0.0,LOCKED_HYBRID,0.5486777972552319
61,0.0,0.0,ZERO,0.30417554994544743
61,0.0,0.0,LSQ,0.19942212794478173
61,0.0,0.0,LOCKED_HYBRID,0.16281493769974004
62,0.0,0.0,ZERO,1.2820567788559873
62,0.0,0.0,LSQ,0.4603282445816451
62,0.0,0.0,LOCKED_HYBRID,0.4148761177918348
63,0.0,0.0,ZERO,1.5250666128131019
63,0.0,0.0,LSQ,0.1919694818330569
63,0.0,0.0,LOCKED_HYBRID,0.19261116476515314
64,0.0,0.0,ZERO,1.570784351356406
64,0.0,0.0,LSQ,0.20092826602178962
64,0.0,0.0,LOCKED_HYBRID,0.1570360975833582
65,0.0,0.0,ZERO,1.0278516368906032
65,0.0,0.0,LSQ,0.8343456012250994
65,0.0,0.0,LOCKED_HYBRID,0.6871602478869306
66,0.0,0.0,ZERO,3.0111401614695423
66,0.0,0.0,LSQ,0.45120225362186256
66,0.0,0.0,LOCKED_HYBRID,0.4324341722675153
67,0.0,0.0,ZERO,3.2388814668669
67,0.0,0.0,LSQ,0.27285703195524386
67,0.0,0.0,LOCKED_HYBRID,0.23481689074679996
68,0.0,0.0,ZERO,2.3924203085632896
68,0.0,0.0,LSQ,0.14257669575475573
68,0.0,0.0,LOCKED_HYBRID,0.15686467126732767
69,0.0,0.0,ZERO,2.332184663820965
69,0.0,0.0,LSQ,0.07977901904771133
69,0.0,0.0,LOCKED_HYBRID,0.14722983381872937
70,0.0,0.0,ZERO,2.1422091446007663
70,0.0,0.0,LSQ,0.3370510990600461
70,0.0,0.0,LOCKED_HYBRID,0.3034950692643789
71,0.0,0.0,ZERO,2.248839133850331
71,0.0,0.0,LSQ,0.19539669397383716
71,0.0,0.0,LOCKED_HYBRID,0.17961408069355378
72,0.0,0.0,ZERO,2.805692914497667
72,0.0,0.0,LSQ,0.36583867821584887
72,0.0,0.0,LOCKED_HYBRID,0.3082892537092687
