batch_id,batch_condition,assembly_id,n_components,variation_multiplier,batch_offset_bias_mm,batch_angular_bias_deg,fixture_drift_mm,severity_sequence,scenario_sequence,final_mean_gap,final_max_gap,final_parallelism,final_rms,final_quality_score
4,fixture_drift,665,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,offset+tilt+twist+mixed+twist,0.7880006418276104,1.6307614417382017,0.1221146811999175,0.9404732768959896,0.8563103571193178
4,fixture_drift,666,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,tilt+offset+mixed+tilt+mixed,0.6938391689473637,1.4722692221660143,0.3074687176914277,0.8430784408039222,0.826380976721834
4,fixture_drift,667,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+twist+mixed+mixed+waviness,0.703179190949267,1.557943449429649,0.13632932027382832,0.8572110187446085,0.804956690070284
4,fixture_drift,668,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,bend+waviness+twist+offset+waviness,0.6153566784424283,1.334814822289099,8.326672684688674e-17,0.7542541590379082,0.660476866123249
5,high_variation,669,5,1.5,0.0,0.0,0.0,high+high+high+medium+high,twist+tilt+tilt+waviness+mixed,0.2814370734680785,0.5472478615920304,0.7306215524644013,0.33829435003265673,0.5016213812606187
5,high_variation,670,5,1.5,0.0,0.0,0.0,high+high+extreme+extreme+medium,mixed+mixed+waviness+offset+mixed,0.3621257489311987,0.8220997997878003,0.3140404259427799,0.4313761757578491,0.4926174099743186
5,high_variation,671,5,1.5,0.0,0.0,0.0,high+high+high+medium+high,mixed+mixed+bend+mixed+bend,0.1709001730471849,0.42511602248889047,1.1102230246251565e-16,0.20789228330024923,0.19959408699084757
5,high_variation,672,5,1.5,0.0,0.0,0.0,high+high+high+extreme+medium,twist+mixed+twist+waviness+mixed,0.1741409702604182,0.4098052329164397,0.1941571090887635,0.20598804880893554,0.25402979856057994
5,high_variation,673,5,1.5,0.0,0.0,0.0,high+high+extreme+medium+high,tilt+mixed+twist+waviness+twist,0.847912947637796,1.23008387334679,0.3202993026881883,0.8749534971381615,0.8069841868156484
5,high_variation,674,5,1.5,0.0,0.0,0.0,extreme+high+high+extreme+medium,bend+tilt+tilt+mixed+mixed,0.4693619265499444,0.845242655332229,0.7364035927983914,0.5307318115545211,0.6683756335596216
5,high_variation,675,5,1.5,0.0,0.0,0.0,high+high+high+medium+high,waviness+offset+bend+bend+mixed,0.7014485098966418,1.4404422598187372,5.551115123125783e-17,0.817118479674747,0.7242790788820883
5,high_variation,676,5,1.5,0.0,0.0,0.0,high+high+extreme+extreme+medium,waviness+mixed+mixed+mixed+bend,0.5733062338777012,1.3799004120420482,0.16202112853970022,0.6862616493007476,0.7031944972679097
5,high_variation,677,5,1.5,0.0,0.0,0.0,high+high+high+medium+high,mixed+bend+twist+offset+tilt,0.36663049503182177,0.7525832588840559,0.002534568321127084,0.41075856982900383,0.3776003536540018
5,high_variation,678,5,1.5,0.0,0.0,0.0,high+high+high+extreme+medium,twist+waviness+mixed+bend+tilt,0.2536505956788198,0.5126478961618466,0.36139774273352043,0.290480646386334,0.36735693501088945
5,high_variation,679,5,1.5,0.0,0.0,0.0,high+high+extreme+medium+high,mixed+bend+offset+mixed+tilt,0.9113273174176099,1.2362529853682178,0.21001482091025858,0.9229555303582745,0.7995740901446533
