assembly_id,batch_condition,component_index,severity,scenario_type,predicted_quality,actual_quality,prediction_absolute_error,true_best_of_20_quality,absolute_regret,exact_best_hit,top3_hit,selected_true_rank,selected_beats_zero,best_was_structured_initial,z_adj,theta_adj,locator_offset,correction_utilization,capability_penalty,mean_gap,max_gap,parallelism,rms
554,fixture_drift,2,medium,mixed,0.20887149498653537,0.18735118942426682,0.021520305562268555,0.18735118942426682,0.0,True,True,1,True,True,-0.49509698153800424,0.0131727187921819,-0.2512163072405328,0.2512163072405328,0.0013659932902057356,0.19191698459578102,0.35992054799044504,5.551115123125783e-17,0.21799929648398955
554,fixture_drift,3,high,mixed,0.3310414870856951,0.27678876429092414,0.05425272279477095,0.26231264268535603,0.014476121605568104,False,True,2,True,False,-0.26350290480277816,0.003939311221151376,-0.37778810757686854,0.37778810757686854,0.00205125380893051,0.21788107018007907,0.4257664904473546,0.19703436291696347,0.24584187227604953
554,fixture_drift,4,extreme,twist,0.2861516110123024,0.24883370276544386,0.037317908246858544,0.24883370276544386,0.0,True,True,1,True,True,-0.05146828189976507,0.005644618634049347,-0.0999623960728189,0.0999623960728189,0.00013917925692542797,0.2231315770599147,0.42271576292160307,0.09851718241465351,0.25524346046592494
554,fixture_drift,5,low,tilt,0.2668964570149356,0.2425654120662214,0.024331044948714187,0.2425654120662214,0.0,True,True,1,True,True,-0.051151940273300854,-0.005920089796714118,-0.2512163072405328,0.2512163072405328,0.0008473681986490324,0.2267541945742685,0.4439779880883412,0.049258590550251335,0.2656818010236308
653,fixture_drift,1,medium,mixed,0.19916629551269546,0.144771106901505,0.05439518861119047,0.144771106901505,0.0,True,True,1,True,True,-0.2574229029226024,0.0321636318377577,-0.2512163072405328,0.2512163072405328,0.0009924091120889615,0.17300589903839175,0.2472666612808478,5.551115123125783e-17,0.1868933880573308
653,fixture_drift,2,medium,mixed,0.19000868095911727,0.20106023314448407,0.011051552185366798,0.20106023314448407,0.0,True,True,1,True,True,-0.08650294951919588,-1.5902773407317584e-18,-0.2512163072405328,0.2512163072405328,0.0008574249955687074,0.21131754718126713,0.3796469949733232,0.0,0.23770870498106955
653,fixture_drift,3,high,twist,0.18574458814331057,0.18410597279978727,0.001638615343523303,0.18410597279978727,0.0,True,True,1,True,True,-0.09884326219055946,-0.0,-0.2512163072405328,0.2512163072405328,0.0008623044200059366,0.18286680375064063,0.3618728699101321,0.0,0.20684070701555451
653,fixture_drift,4,low,bend,0.20927900195186389,0.21885814995625527,0.009579148004391386,0.1891196157191999,0.02973853423705536,False,True,3,True,True,-0.0710635932484565,-0.0,-0.2512163072405328,0.2512163072405328,0.0008522351801230788,0.21969312448108094,0.42701964960695143,0.0,0.24844317729845541
653,fixture_drift,5,medium,offset,0.23622948579189512,0.21211748389403626,0.024112001897858865,0.20221960303862885,0.00989788085540741,False,True,2,True,True,0.10156342229381457,-0.0,-0.2512163072405328,0.2512163072405328,0.000863467381643398,0.2076312195228631,0.4194004486283626,0.0,0.24007983448668552
655,fixture_drift,1,medium,mixed,0.03350317778963812,0.032827867654171554,0.0006753101354665669,0.032827867654171554,0.0,True,True,1,True,True,-0.0161358841337105,-0.0,-0.2512163072405328,0.2512163072405328,0.0008420172227287204,0.029046556412112918,0.06863492557760675,5.551115123125783e-17,0.03523423057255637
