sequence_length,assembly_index,component_index,lsq_quality,hybrid_quality,hybrid_minus_lsq
5,66,4,0.11724305596304024,0.11527684792860027,-0.0019662080344399757
5,66,5,0.09804390300235986,0.09282271672665124,-0.005221186275708625
5,67,1,0.16617400302751992,0.14597832094255284,-0.02019568208496708
5,67,2,0.2713016282007611,0.23952632769085816,-0.03177530050990293
5,67,3,0.23667986086996867,0.1631375913940797,-0.07354226947588896
5,67,4,0.1885834463426223,0.19554279436900568,0.006959348026383372
5,67,5,0.2038428207110078,0.1979637903321987,-0.005879030378809075
5,68,1,0.1488600613810965,0.11566576023704878,-0.03319430114404773
5,68,2,0.27051581282960735,0.2286907750542189,-0.04182503777538846
5,68,3,0.5479762894106532,0.4365317381924294,-0.11144455121822383
5,68,4,0.28597019992315376,0.2744287949734922,-0.011541404949661549
5,68,5,0.27020549906083113,0.25203425258572765,-0.018171246475103486
5,69,1,0.15047923721292494,0.11213771762034122,-0.03834151959258372
5,69,2,0.16941113661523605,0.1313852862684185,-0.03802585034681755
5,69,3,0.2563710490749482,0.27479418223355634,0.018423133158608163
5,69,4,0.3484376857181744,0.32260674306606973,-0.02583094265210467
5,69,5,0.4902971886298785,0.4258698839609501,-0.06442730466892838
5,70,1,0.2596870284629655,0.16534711566462879,-0.0943399127983367
5,70,2,0.12007952723707532,0.06692777738603312,-0.05315174985104221
5,70,3,0.12097741194886512,0.0995824939216579,-0.02139491802720722
5,70,4,0.1040264884945689,0.06819835208741004,-0.03582813640715886
5,70,5,0.10877661472461783,0.06017274361701268,-0.048603871107605154
5,71,1,0.150575168734169,0.0944369575563344,-0.056138211177834615
5,71,2,0.14492168841284508,0.09202176339932247,-0.052899925013522614
5,71,3,0.16081783468910243,0.11539406560692692,-0.04542376908217552
5,71,4,0.19348436420182574,0.14022471303858966,-0.05325965116323608
5,71,5,0.21922159890186524,0.20643042653480936,-0.012791172367055875
5,72,1,0.1791023888782362,0.139605835729753,-0.039496553148483216
5,72,2,0.30568632953370223,0.254036666441327,-0.05164966309237523
5,72,3,0.4303414540324944,0.3867139731465674,-0.043627480885926995
5,72,4,0.3545034687211976,0.3222619046533825,-0.03224156406781509
5,72,5,0.38851474670733127,0.3043672171170098,-0.08414752959032146
5,73,1,0.18819530900855017,0.15915990075713315,-0.02903540825141701
5,73,2,0.3590749098917058,0.30735214854271276,-0.05172276134899306
5,73,3,0.36564031699961214,0.30824039209685483,-0.057399924902757304
5,73,4,0.4840604937756856,0.4365544580789179,-0.0475060356967677
5,73,5,0.7497698330485585,0.588080958349935,-0.16168887469862347
5,74,1,0.11314709782866646,0.06908508363613441,-0.04406201419253204
5,74,2,0.068027865932633,0.06282782020819996,-0.005200045724433042
5,74,3,0.19425348424484876,0.15964570328668734,-0.034607780958161416
5,74,4,0.1141450890330338,0.10919310437783153,-0.004951984655202274
5,74,5,0.1888686956736766,0.1682741273820982,-0.02059456829157838
5,75,1,0.10562264501245518,0.10185902330186884,-0.0037636217105863345
5,75,2,0.21854702195719003,0.16118251431263603,-0.057364507644554
5,75,3,0.46410047364695917,0.3640107130531963,-0.10008976059376284
5,75,4,0.5342909745750886,0.4260611788180547,-0.10822979575703384
5,75,5,0.7752724398294387,0.6454410665050078,-0.12983137332443095
5,76,1,0.19508593763256113,0.11609374454486625,-0.07899219308769488
5,76,2,0.21325233928792736,0.20282998652646533,-0.010422352761462028
5,76,3,0.10715646299953016,0.0748930477047315,-0.03226341529479866
5,76,4,0.29809240604074566,0.22533766746510958,-0.07275473857563608
5,76,5,0.3150981707711426,0.2586440497379918,-0.056454121033150784
5,77,1,0.2907328549454571,0.22788798140884395,-0.06284487353661314
5,77,2,0.06895429074097999,0.051811321186271,-0.017142969554708988
5,77,3,0.1726096506630684,0.15421410344528488,-0.018395547217783526
5,77,4,0.34343048830251927,0.23149670456578603,-0.11193378373673324
5,77,5,0.1902624203892011,0.13372128717347634,-0.056541133215724765
5,78,1,0.20045168025000556,0.18663112287262026,-0.0138205573773853
5,78,2,0.12975226502198958,0.06636400671124926,-0.06338825831074033
5,78,3,0.1811717140247291,0.15881418733560776,-0.022357526689121332
5,78,4,0.23309530657084251,0.20395894545202375,-0.02913636111881876
5,78,5,0.2592951456395317,0.22039896102721152,-0.038896184612320195
5,79,1,0.14186193417936172,0.14886221496028534,0.007000280780923629
5,79,2,0.3996202405658987,0.3005857294805161,-0.09903451108538258
5,79,3,0.5636228450925307,0.4602661450655398,-0.10335670002699088
5,79,4,0.49477331844465555,0.42208118563824704,-0.07269213280640852
5,79,5,0.36405047393846646,0.3530875299434526,-0.010962943995013852
5,80,1,0.18633891985108034,0.1614321714392924,-0.024906748411787943
5,80,2,0.10448728098553481,0.04577241787549962,-0.05871486311003519
5,80,3,0.26350697793295835,0.20532678929259282,-0.05818018864036553
5,80,4,0.09178128956947552,0.07598435380596932,-0.0157969357635062
5,80,5,0.131284940322769,0.08912201415588474,-0.04216292616688426
5,81,1,0.15389230942646287,0.14149450178344836,-0.012397807643014513
5,81,2,0.3049631495055997,0.21348063463654487,-0.09148251486905484
5,81,3,0.33480356490638075,0.31755605274391724,-0.017247512162463507
5,81,4,0.3545700695439607,0.3110137752562317,-0.043556294287729
5,81,5,0.5862906757749708,0.4981317240251274,-0.08815895174984345
5,82,1,0.1351140217439221,0.12137661467338523,-0.013737407070536861
