assembly_index,component_index,nonlinearity_strength,zero_quality,lsq_quality,z_adj_mm,theta_adj_deg,locator_offset_mm,solver_success,sequence_length
28,5,0.0,2.6923528111605233,0.5085050796935237,-0.42491018883788917,0.09167913470984292,0.28574410729991034,True,5
29,1,0.0,0.7229119399937518,0.2352976512699913,-0.3910694344393242,0.0405121297451971,-0.11186376005799559,True,5
29,2,0.0,0.9781781466635164,0.18411661331868973,0.49493810533173993,0.05124147275663659,0.3052133368230013,True,5
29,3,0.0,1.5449831323536174,0.2697935951320033,-0.227285779501995,0.05150753365049673,-0.278097743640775,True,5
29,4,0.0,1.334526063267301,0.34539662094071877,-0.13093354012979508,-0.034199112378658435,-0.011637046734963628,True,5
29,5,0.0,1.1347668081798,0.5431362827158553,-0.09038857656412932,-0.037269799015823266,0.17575077951127008,True,5
30,1,0.0,0.3587110089040486,0.1987799735306205,-0.33415693936856916,0.016610176253453818,0.17526672780356548,True,5
30,2,0.0,0.9328729256275098,0.3714395711740286,-0.4717085717910543,-0.041129981600026504,0.029402458687109067,True,5
30,3,0.0,1.7739040385154032,0.33569898200077003,-0.5793234706234175,-0.05394429002629569,-0.49488867472022857,True,5
30,4,0.0,2.143761857853395,0.27410412398278233,0.07348606011526855,-0.061952458695656305,-0.2574083952296287,True,5
30,5,0.0,1.538800037734795,0.2105892206189085,0.10326153582653708,0.09167923650804752,-0.4365698336081792,True,5
31,1,0.0,0.9490712980987992,0.08906775747614043,-0.3658098135445658,-0.07733586417262739,-0.3973516815694038,True,5
31,2,0.0,0.5079777371863321,0.11336596773688774,0.10614343563528687,0.05084510313902533,0.00037120598650742804,True,5
31,3,0.0,0.8848942470280687,0.14053437286743162,0.41796750698871454,-0.04884284117285378,-0.45871470725005303,True,5
31,4,0.0,1.357098345783082,0.228182263473608,0.6816985229097118,-0.02995150956664788,0.2332676327130387,True,5
31,5,0.0,0.9446979888117288,0.3908994505414473,0.33251070236702995,0.09053658184855605,0.2202112318694222,True,5
32,1,0.0,0.9471431141538442,0.01828369582010009,-0.2340126730657876,-0.08553168960980333,-0.2898671183286315,True,5
32,2,0.0,1.9468752602688928,0.07625475763286516,-0.2116710271163798,-0.09878934302200701,-0.08316268088214855,True,5
32,3,0.0,2.482051892405612,0.20781874560911953,0.12598597319797014,-0.06464510981819965,0.08841309226194097,True,5
32,4,0.0,1.7604192250429471,0.22240370455597616,0.04775632431751875,0.07750936213864511,0.36464295963041304,True,5
32,5,0.0,1.9356279022057263,0.09590794343119999,0.2076278026718579,-0.020847602458514233,-0.1427508376814433,True,5
33,1,0.0,0.8909764868593245,0.06360901694873267,-0.09304604158049955,-0.08912476271501248,-0.21934527318554345,True,5
33,2,0.0,0.8357499316342136,0.13594065873808303,-0.2892092596717115,0.021248394474549175,0.17576658594425124,True,5
33,3,0.0,0.6554956994777317,0.0586946458046045,-0.3005677216419939,0.047942942126774635,0.08791770765720416,True,5
33,4,0.0,1.6374227816984201,0.10066372436842924,-0.40939269622269836,-0.08804079339347817,0.27578199067557835,True,5
33,5,0.0,2.2402829562161837,0.3079237736692241,-0.573473169611068,-0.03424705467654873,0.11250378414845562,True,5
34,1,0.0,0.3231368923228912,0.22229491483723704,0.02628277154876541,-0.013671590395192291,0.05035314711601864,True,5
34,2,0.0,0.2568401397462377,0.07851525497745342,0.10052329602644133,0.028202995938796563,-0.3307031225783223,True,5
34,3,0.0,0.858020485861657,0.2058193427588664,-0.17703696393779872,-0.10342439362743154,0.10024190673486483,True,5
34,4,0.0,1.092223412416259,0.41071220933273034,0.6128286850098217,0.008601693120073271,0.3510369710429499,True,5
34,5,0.0,0.7442225272495094,0.4382281563552678,-0.6511067487736405,0.010225098191613703,-0.23797607641051644,True,5
35,1,0.0,0.1925363214258943,0.12029597834906561,0.0035373680498992956,-0.006896990220769858,0.22438123149104314,True,5
35,2,0.0,0.6449813842321609,0.07530454177623336,0.39379294998024705,-0.03481274317526256,-0.03458065147987467,True,5
35,3,0.0,0.4939590614513592,0.1431430972903176,0.14411940824755154,0.031543461490453645,-0.15307351875939393,True,5
35,4,0.0,1.1635739575016122,0.09642611865686831,0.14073683329321807,0.10304415583826299,-0.30702673515043044,True,5
35,5,0.0,1.0053518342352317,0.14297513510716658,0.09212786386565501,-0.029980906423229415,-0.1613506076734418,True,5
36,1,0.0,0.22764351534517388,0.16210251368688694,-0.11320627664998044,-0.00407958812724249,-0.18940806630658055,True,5
